,math,h,gender,school,age,Exp,spat
589,2,-0.56,1,3,8,Exp2,NA
590,2,1,1,3,8,Exp2,NA
591,2,0.8,1,3,8,Exp2,NA
592,2,0.33,1,3,8,Exp2,NA
593,2,0.7,0,3,8,Exp2,NA
594,2,0.7,0,3,8,Exp2,NA
595,2,0.13,1,4,8,Exp2,NA
596,2,0.06,1,4,8,Exp2,NA
597,2,0.7,1,4,8,Exp2,NA
598,2,0.41,1,4,8,Exp2,NA
599,2,0.6,0,4,8,Exp2,NA
600,2,0.4,0,4,8,Exp2,NA
601,2,-0.6,0,4,8,Exp2,NA
602,2,0.9,0,4,8,Exp2,NA
603,2,0.78,1,7,8,Exp2,NA
604,2,1,1,7,8,Exp2,NA
605,2,0.89,1,7,8,Exp2,NA
606,2,0.8,1,7,8,Exp2,NA
607,2,1,1,7,8,Exp2,NA
608,2,1,0,7,8,Exp2,NA
609,2,0.58,0,7,8,Exp2,NA
610,2,0.79,0,7,8,Exp2,NA
611,2,1,0,7,8,Exp2,NA
612,2,0.8,1,8,8,Exp2,NA
613,2,1,1,8,9,Exp2,NA
614,2,0.26,0,8,9,Exp2,NA
615,2,0.9,1,11,8,Exp2,NA
616,2,0.16,1,11,8,Exp2,NA
617,2,0.7,1,11,8,Exp2,NA
618,2,1,1,11,8,Exp2,NA
619,2,0.6,0,11,8,Exp2,NA
620,2,0.9,0,11,8,Exp2,NA
621,2,0.79,0,11,9,Exp2,NA
622,2,0.67,0,12,9,Exp2,NA
623,2,0.89,0,12,8,Exp2,NA
624,2,0.65,0,12,9,Exp2,NA
625,2,0.2,1,13,9,Exp2,NA
626,2,1,1,13,8,Exp2,NA
627,2,0.89,1,13,9,Exp2,NA
628,2,0.78,1,13,10,Exp2,NA
629,2,0.58,1,13,9,Exp2,NA
630,2,0,0,13,9,Exp2,NA
631,2,0.7,0,13,9,Exp2,NA
632,2,0.9,0,13,9,Exp2,NA
633,2,-0.5,1,14,8,Exp2,NA
634,2,-0.44,1,14,8,Exp2,NA
635,2,1,1,14,8,Exp2,NA
636,2,1,1,14,8,Exp2,NA
637,2,-0.47,1,14,9,Exp2,NA
638,2,0.9,1,14,10,Exp2,NA
639,2,0.9,1,14,9,Exp2,NA
640,2,0.68,1,14,10,Exp2,NA
641,2,0.8,1,14,9,Exp2,NA
642,2,1,1,14,10,Exp2,NA
643,2,-0.2,1,14,9,Exp2,NA
644,2,0.8,0,14,8,Exp2,NA
645,2,0.7,0,14,9,Exp2,NA
646,2,0.6,0,14,8,Exp2,NA
